Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,brancher,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,comment brancher,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,en parallèle,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,en parallele,Broad match
Negative keyword,Add,Enabled,Campaign,,Search - Delegation admin PV installateurs,,,,exemple,Broad match
