Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Language,Location,Final URL suffix,Label,"Annonces à caractère politique dans l'UE"
Add,Paused,Search - Pilotage admin PV,Search,Google Search,4,Daily,Manual CPC,fr,France,utm_source=google&utm_medium=cpc&utm_campaign=search_pilotage_admin_pv&utm_content={creative}&utm_term={keyword},Sunelys lead gen test 10eur daily,"Non, cette campagne ne comporte pas d'annonces à caractère politique dans l'UE"
Add,Paused,Search - Sous-traitance DP,Search,Google Search,3,Daily,Manual CPC,fr,France,utm_source=google&utm_medium=cpc&utm_campaign=search_sous_traitance_dp&utm_content={creative}&utm_term={keyword},Sunelys lead gen test 10eur daily,"Non, cette campagne ne comporte pas d'annonces à caractère politique dans l'UE"
Add,Paused,Search - Consuel Raccordement,Search,Google Search,3,Daily,Manual CPC,fr,France,utm_source=google&utm_medium=cpc&utm_campaign=search_consuel_raccordement&utm_content={creative}&utm_term={keyword},Sunelys lead gen test 10eur daily,"Non, cette campagne ne comporte pas d'annonces à caractère politique dans l'UE"
